505 Games,Ghostrunner,https://store.steampowered.com/app/1139900/Ghostrunner/
Bloober Team,Observer:System Redux,https://store.steampowered.com/app/1386900/Observer_System_Redux/
Indie Games Poland Foundation,Danger Scavenger,https://store.steampowered.com/app/1169740/Danger_Scavenger/
Indie Games Poland Foundation,Fury Unleashed,https://store.steampowered.com/app/465200/Fury_Unleashed/
Indie Games Poland Foundation,Gatewalkers,https://store.steampowered.com/app/1341330/Gatewalkers_Alpha/
Indie Games Poland Foundation,Hell Architect,https://store.steampowered.com/app/1063980/Hell_Architect/
Indie Games Poland Foundation,Inkulinati,https://store.steampowered.com/app/957960/Inkulinati/
Indie Games Poland Foundation,Lust from Beyond,https://store.steampowered.com/app/1401680/Lust_from_Beyond_Scarlet/
Indie Games Poland Foundation,Model Builder,https://store.steampowered.com/app/1164250/Model_Builder/
Indie Games Poland Foundation,Rustler,https://store.steampowered.com/app/1232710/Rustler_Prologue/
Indie Games Poland Foundation,SAD RPG: A Social Anxiety Role Playing Game,https://store.steampowered.com/app/857760/SAD_RPG_A_Social_Anxiety_Role_Playing_Game/
Indie Games Poland Foundation,Siege Survival: Gloria Victis,https://store.steampowered.com/app/1362420/Siege_Survival_Gloria_Victis_Prologue
Indie Games Poland Foundation,Strings Theory,https://store.steampowered.com/app/1402030/Strings_Theory/
Indie Games Poland Foundation,The Last Show of Mr. Chardish,https://store.steampowered.com/app/1397140/The_Last_Show_of_Mr_Chardish_Act_I/
Indie Games Poland Foundation,Uragun,https://store.steampowered.com/app/724000/Uragun/
Indie Games Poland Foundation,Werewolf: The Apocalypse - Heart of the Forest,https://store.steampowered.com/app/1342620/Werewolf_The_Apocalypse__Heart_of_the_Forest/
NIS America,Disgaea 4 Complete+,https://store.steampowered.com/app/1233880/Disgaea_4_Complete/
NIS America,Saviors of Sapphire Wings / Stranger of Sword City Revisited,https://store.steampowered.com/app/1363840/Saviors_of_Sapphire_Wings__Stranger_of_Sword_City_Revisited/
NIS America,The Legend of Heroes: Trails of Cold Steel IV,https://store.steampowered.com/app/1198090/The_Legend_of_Heroes_Trails_of_Cold_Steel_IV/
NIS America,Ys IX: Monstrum Nox,https://store.steampowered.com/app/1351630/Ys_IX_Monstrum_Nox/
tinyBuild,Black Skylands,https://store.steampowered.com/app/1143810/Black_Skylands/
tinyBuild,Hello Neighbor 2,https://www.helloneighbor2.com/
tinyBuild,Kill It With Fire,https://store.steampowered.com/app/1291500/Kill_It_With_Fire_Ignition/
tinyBuild,Mayhem In Single Valley,https://store.steampowered.com/app/1282600/Mayhem_in_Single_Valley_Confessions/
tinyBuild,Not For Broadcast,https://store.steampowered.com/app/1201400/Not_For_Broadcast_Prologue/
tinyBuild,Trash Sailors,https://store.steampowered.com/app/1132030/Trash_Sailors/
tinyBuild,Undungeon,https://store.steampowered.com/app/928990/Undungeon/
United Label / CI Games,Eldest Souls,https://store.steampowered.com/app/1108590/Eldest_Souls/
United Label / CI Games,Röki,https://store.steampowered.com/app/1067540/Rki/
101XP,The Life and Suffering of Sir Brante,https://store.steampowered.com/app/1272160/The_Life_and_Suffering_of_Sir_Brante/
Bless Unleashed,Bless Unleashed,https://www.blessunleashedpc.com/
Digipen Institute of Technology,DigiPen Institute of Technology Student Games,https://store.steampowered.com/search/?publisher=DigiPen%20Institute%20of%20Technology
Headup Games,Pumpkin Jack,https://store.steampowered.com/app/1186640/Pumpkin_Jack/
Headup Games,Tinkertown,https://store.steampowered.com/app/1276660/Tinkertown/
Hypetrain Digital,Black Book,https://store.steampowered.com/app/1284240/Black_Book_Prologue/
Hypetrain Digital,Linked Mask,https://store.steampowered.com/app/1111590/Linked_Mask/
Hypetrain Digital,Stoneshard,https://store.steampowered.com/app/625960/Stoneshard/
Hypetrain Digital,Suchart: Genius Painter Simulator,https://store.steampowered.com/app/1293180/SuchArt_Genius_Painter_Simulator/
Hypetrain Digital,There is no Light,https://store.steampowered.com/app/1132980/There_Is_No_Light/
Hypetrain Digital,Tower Princess,https://store.steampowered.com/app/1138650/Tower_Princess/
Hypetrain Digital,Tunche,https://store.steampowered.com/app/887450/Tunche/
Hypetrain Digital,Voidtrain,https://store.steampowered.com/app/1159690/Voidtrain/
Lake Washington Institute of Technology,Finnegan,https://swansonsart.itch.io/finnegan
Lake Washington Institute of Technology,Project Ile,https://grantmhargraves.itch.io/project-ile-pax-2020-demo
Lake Washington Institute of Technology,Venture: Journey to Carpathia,https://carpathian-games.itch.io/venture-journey-to-carpathia
Lake Washington Institute of Technology,Witch's Brew,https://witchesbrewdev.itch.io/witchs-brew
Manticore Games,Core Game Platform,https://coregames.com
MiHoYo Limited,Genshin Impact,https://genshin.mihoyo.com/en
Modus Games,Ary and the Secret of Seasons,https://store.steampowered.com/app/935570/Ary_and_the_Secret_of_Seasons/
Modus Games,Cris Tales,https://modusgames.com/cris-tales/demo/
Modus Games,Degrees of Separation,https://store.steampowered.com/app/809880/Degrees_of_Separation/
Modus Games,Remothered:Broken Porcelain,https://store.steampowered.com/app/1142390/Remothered_Broken_Porcelain/
Modus Games,Skully,https://store.steampowered.com/app/1249110/Skully/
Modus Games,Trine 4: The Nightmare Prince,https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince/
Neowiz,8Doors,https://store.steampowered.com/app/668550/8Doors_Arums_Afterlife_Adventure/
Neowiz,Blade Assault,https://store.steampowered.com/app/1367300/Blade_Assault/
Neowiz,Dandy Ace,https://store.steampowered.com/app/1037130/Dandy_Ace/
Neowiz,Metal Unit,https://store.steampowered.com/app/1173200/Metal_Unit/
Neowiz,Skul: The Hero Slayer,https://store.steampowered.com/app/1147560/Skul_The_Hero_Slayer/
PM Studios inc.,Exophobia,https://store.steampowered.com/app/1189220/Exophobia/
PM Studios inc.,Guts 'N Goals,https://store.steampowered.com/app/1352380/Guts_N_Goals_Preseason/
The Arcade Crew,KUNAI,https://store.steampowered.com/app/1001800/KUNAI/
The Arcade Crew,The Last Spell,https://store.steampowered.com/app/1105670/The_Last_Spell/
PAX Indie Showcase,Anew: The Distant Light,https://store.steampowered.com/app/905530/Anew_The_Distant_Light/
PAX Indie Showcase,Boyfriend Dungeon,https://store.steampowered.com/app/674930/Boyfriend_Dungeon/
PAX Indie Showcase,Dap,https://meltingparrot.itch.io/dap
PAX Indie Showcase,Dreamscaper,https://store.steampowered.com/app/1253950/Dreamscaper_Prologue/
PAX Indie Showcase,Gamedec,https://store.steampowered.com/app/917720/Gamedec/
PAX Indie Showcase,Innchanted,https://store.steampowered.com/app/1369720/Innchanted/
PAX Indie Showcase,JUSTICE SUCKS: RECHARGED,https://store.steampowered.com/app/856890/JUSTICE_SUCKS_RECHARGED/
